core_count,execution_time,speedup,efficiency
1,6933.95,1,100
2,3507.65,1.976807834,98.84039172
3,2365.15,2.931716804,97.72389348
4,1802.55,3.846744889,96.16862223
5,1453.39,4.770880493,95.41760986
6,1230.24,5.636257966,93.93763277
7,1070.41,6.477844938,92.54064197
8,928.585,7.467221633,93.34027041
9,880.631,7.873842733,87.48714148
10,826.955,8.384918164,83.84918164
11,796.766,8.702617833,79.11470757
12,746.303,9.291065425,77.42554521
13,844.8,8.207800663,63.13692818
14,770.214,9.002627841,64.30448458
15,710.91,9.753625635,65.0241709
16,660.74,10.4942186,65.58886627
17,621.474,11.15726483,65.63096956
18,591.047,11.73163894,65.17577188
19,552.741,12.54466378,66.02454619
20,524.533,13.21928268,66.09641338
21,513.918,13.49232757,64.2491789
22,493.628,14.04691387,63.8496085
23,486.463,14.25380759,61.97307646
24,470.779,14.72867311,61.36947131
25,445.625,15.5600561,62.2402244
26,427.595,16.21616249,62.36985573
27,408.723,16.96491267,62.83300988
28,394.119,17.59354408,62.83408601
29,374.5,18.51522029,63.84558722
30,360.357,19.24189068,64.1396356
31,350.698,19.77185499,63.78017738
32,336.648,20.5970331,64.36572845
33,329.911,21.01763809,63.68981239
34,321.108,21.59382513,63.51125038
35,319.11,21.72902761,62.08293602
36,315.237,21.99599032,61.09997311
37,301.936,22.96496609,62.06747591
38,293.11,23.65647709,62.25388708
39,284.651,24.3594788,62.46020205
40,276.97,25.03502184,62.58755461
41,269.004,25.77638251,62.86922563
42,262.452,26.41987868,62.90447305
43,258.425,26.83157589,62.3990137
44,248.611,27.89076107,63.38809334
45,246.593,28.11900581,62.48667958
46,243.354,28.49326496,61.94188034
47,238.426,29.08218902,61.87699792
48,234.617,29.55433749,61.57153645
49,228.933,30.28811923,61.81248823
50,223.828,30.97892131,61.95784263
51,219.058,31.65348903,62.06566477
52,213.083,32.54107554,62.57899143
53,209.51,33.0960336,62.44534642
54,206.443,33.58772155,62.19948435
55,201.753,34.36851001,62.48820002
56,197.302,35.14384041,62.75685787
57,193.013,35.92478227,63.0259338
58,192.586,36.00443438,62.076611
59,193.661,35.80457604,60.6857221
60,189.88,36.51753739,60.86256232
61,188.746,36.73693747,60.22448766
62,184.26,37.63133616,60.69570348
63,182.868,37.91778769,60.18696459
64,180.336,38.45017079,60.07839186
65,178.606,38.82260394,59.72708299
66,177.365,39.09424069,59.23369802
67,180.203,38.47854919,57.43067044
68,174.59,39.71561945,58.40532272
69,172.222,40.26169711,58.35028567
70,172.542,40.18702693,57.41003847
71,170.756,40.60735787,57.19346179
72,168.708,41.10030348,57.08375484
73,166.481,41.65009821,57.05492905
74,165.633,41.86333641,56.57207623
75,164.867,42.05784056,56.07712075
76,162.795,42.59313861,56.04360343
77,160.131,43.30173421,56.23601845
78,159.286,43.53144658,55.8095469
79,159.444,43.48830938,55.04849288
80,157.677,43.9756591,54.96957388
