core_count,execution_time,speedup,efficiency
1,7345.86,1,100
2,3715.36,1.977159683,98.85798415
3,2530,2.903501976,96.78339921
4,1892.17,3.882241025,97.05602562
5,1546.53,4.749898159,94.99796318
6,1305.76,5.625735204,93.7622534
7,1124.84,6.530582127,93.29403039
8,992.383,7.402242884,92.52803605
9,927.849,7.917085646,87.96761829
10,873.212,8.41245883,84.1245883
11,832.823,8.820433634,80.18576031
12,789.734,9.301688923,77.51407436
13,892.932,8.226673476,63.28210366
14,820.656,8.95120489,63.93717778
15,750.721,9.785073283,65.23382189
16,702.923,10.45044763,65.31529769
17,656.187,11.19476613,65.85156545
18,612.503,11.99318207,66.6287893
19,588.674,12.47865542,65.67713378
20,575.483,12.76468636,63.8234318
21,541.604,13.56315685,64.58646117
22,525.644,13.97497165,63.52259843
23,507.904,14.46308751,62.88298919
24,494.497,14.85521651,61.89673547
25,468.771,15.67046596,62.68186385
26,453.059,16.21391474,62.36121055
27,429.257,17.11296496,63.38135171
28,408.493,17.98282957,64.22439133
29,399.579,18.38399916,63.39310055
30,398.105,18.45206667,61.50688889
31,368.488,19.93514036,64.30690438
32,353.991,20.75154453,64.84857666
33,351.05,20.92539524,63.41028861
34,344.818,21.30358624,62.65760659
35,336.152,21.85279278,62.43655081
36,330.891,22.20024117,61.66733658
37,320.145,22.94541536,62.0146361
38,306.671,23.95355283,63.03566534
39,300.105,24.47763283,62.7631611
40,291.808,25.1736073,62.93401826
41,286.857,25.60809044,62.45875718
42,274.503,26.76058185,63.71567108
43,272.017,27.00515041,62.80267538
44,261.147,28.12921458,63.93003314
45,258.515,28.41560451,63.1457878
46,255.784,28.71899728,62.43260278
47,255.206,28.78404113,61.2426407
48,248.645,29.54356613,61.5490961
49,243.69,30.14428167,61.51894218
50,236.7,31.03447402,62.06894804
51,229.645,31.98789436,62.72136149
52,225.288,32.60653031,62.70486598
53,221.825,33.11556407,62.48219636
54,215.913,34.02231454,63.00428619
55,212.996,34.4882533,62.70591509
56,210.075,34.96779722,62.44249503
57,203.993,36.0103533,63.17605841
58,202.728,36.23505387,62.4742308
59,200.547,36.62911936,62.08325315
60,198.303,37.04361507,61.73935846
61,197.584,37.17841526,60.94822173
62,193.893,37.8861537,61.10669952
63,192.129,38.23399903,60.68888735
64,199.321,36.85442076,57.58503244
65,189.752,38.71295164,59.55838714
66,188.271,39.01748012,59.11739412
67,185.985,39.49705621,58.95083017
68,184.172,39.88586756,58.65568759
69,183.323,40.0705858,58.07331275
70,181.212,40.53738163,57.91054519
71,178.607,41.12862318,57.92763828
72,176.574,41.60216113,57.78077935
73,175.378,41.88586938,57.37790326
74,174.622,42.06720803,56.84757841
75,171.2,42.90806075,57.21074766
76,171.291,42.88526543,56.42798082
77,169.765,43.27075663,56.19578784
78,167.66,43.81402839,56.17183127
79,167.008,43.98507856,55.67731463
80,165.926,44.27190434,55.33988043
