core_count,execution_time,speedup,efficiency
1,11174.5,1,100
2,5676.63,1.968509485,98.42547427
3,3816.39,2.928028844,97.60096147
4,2878.35,3.882258933,97.05647333
5,2351.15,4.752780554,95.05561108
6,1967.92,5.67833042,94.63884033
7,1714.89,6.516161386,93.08801981
8,1501.9,7.44024236,93.0030295
9,1396.78,8.000186142,88.89095714
10,1306.77,8.55123702,85.5123702
11,1239.37,9.016274397,81.96613089
12,1165.64,9.586579047,79.88815872
13,1327.75,8.416117492,64.73936532
14,1217.16,9.180797923,65.57712802
15,1127.26,9.912974824,66.08649883
16,1039.89,10.74584812,67.16155074
17,977.09,11.43651045,67.27359091
18,919.44,12.15359349,67.51996384
19,872.171,12.81228108,67.4330583
20,822.132,13.59209957,67.96049783
21,794.675,14.06172335,66.96058736
22,776.776,14.38574312,65.38974147
23,756.094,14.77924702,64.25759576
24,740.502,15.09043865,62.8768277
25,694.567,16.08844071,64.35376285
26,666.58,16.76392931,64.4766512
27,639.975,17.46083831,64.66977153
28,612.25,18.25153124,65.18404013
29,587.039,19.03536222,65.63918006
30,564.958,19.77934643,65.93115476
31,547.332,20.41631039,65.85906578
32,528.988,21.12429772,66.01343036
33,519.028,21.52966699,65.24141513
34,505.404,22.11003474,65.02951395
35,497.921,22.44231515,64.12090042
36,490.874,22.76449761,63.23471558
37,471.454,23.70220637,64.0600172
38,455.821,24.51510571,64.51343608
39,443.684,25.18571776,64.5787635
40,432.328,25.84727337,64.61818342
41,421.334,26.52171436,64.68710821
42,410.686,27.20935216,64.7841718
43,398.802,28.02017041,65.163187
44,388.35,28.77430153,65.39613985
45,382.487,29.21537203,64.92304895
46,376.079,29.71317197,64.5938521
47,371.879,30.04875242,63.93351578
48,367.445,30.41135408,63.35698767
49,358.281,31.18920624,63.6514413
50,351.911,31.75376729,63.50753458
51,342.599,32.61684944,63.95460674
52,334.512,33.40537858,64.24111266
53,327.288,34.14271223,64.42021175
54,319.774,34.9449924,64.71294889
55,317.186,35.23011734,64.05475881
56,306.939,36.40625662,65.01117253
57,303.616,36.80471385,64.56967342
58,301.497,37.06338703,63.90239143
59,297.038,37.61976582,63.76231495
60,293.949,38.01509786,63.35849643
61,292.534,38.19897858,62.62127636
62,288.91,38.67813506,62.38408881
63,284.141,39.32730581,62.42429494
64,281.379,39.71334037,62.05209433
65,277.187,40.31393969,62.02144567
66,276.439,40.4230228,61.24700424
67,273.357,40.87877757,61.01310085
68,274.324,40.7346787,59.90393927
69,267.837,41.72127077,60.46560982
70,264.971,42.17253964,60.24648519
71,262.671,42.54181086,59.91804346
72,260.189,42.94762653,59.6494813
73,258.359,43.25183175,59.24908459
74,254.736,43.86698386,59.27970792
75,253.675,44.05045826,58.73394435
76,251.004,44.51921085,58.57790901
77,249.26,44.83069887,58.22168684
78,244.762,45.65455422,58.53147977
79,243.351,45.91926887,58.1256568
80,241.783,46.21706241,57.77132801
