core_count,execution_time,speedup,efficiency
1,7356.49,1,100
2,3691.33,1.992910414,99.64552072
3,2509.46,2.931503192,97.71677306
4,1883.04,3.906709364,97.66773409
5,1536.9,4.786576876,95.73153751
6,1286.77,5.717020136,95.28366893
7,1136.29,6.474130724,92.48758177
8,984.68,7.470944875,93.38681094
9,1451.79,5.067186026,56.30206695
10,1337.95,5.498329534,54.98329534
11,1289.84,5.703412826,51.84920751
12,1160.53,6.3389055,52.8242125
13,1382.92,5.319534029,40.91949253
14,1274.26,5.773146768,41.23676263
15,1198.6,6.13756883,40.91712554
16,1109.39,6.631112593,41.44445371
17,1039.45,7.077290875,41.63112279
18,979.579,7.509848619,41.72138121
19,934.459,7.872458824,41.43399381
20,891.871,8.24837897,41.24189485
21,833.152,8.829709345,42.04623498
22,799.513,9.201213739,41.82369881
23,769.153,9.564403961,41.58436505
24,743.333,9.896627756,41.23594898
25,707.108,10.40363,41.61451999
26,685.91,10.72515345,41.25059018
27,665.79,11.04926478,40.9232029
28,637.027,11.54816044,41.24343014
29,612.608,12.00847851,41.40854657
30,593.992,12.3848301,41.282767
31,575.897,12.77396826,41.20634923
32,551.776,13.33238488,41.66370275
33,535.465,13.73850765,41.63184137
34,524.013,14.03875476,41.29045519
35,506.902,14.51264742,41.4647069
36,493.209,14.91556318,41.43211994
37,481.524,15.27751472,41.29058034
38,466.378,15.77366428,41.50964284
39,457.284,16.0873549,41.24962796
40,441.97,16.64477227,41.61193067
41,432.645,17.00352483,41.47201178
42,423.965,17.35164459,41.31343951
43,413.541,17.78902213,41.3698189
44,407.013,18.07433669,41.07803794
45,395.319,18.60899678,41.35332619
46,385.241,19.09581275,41.51263642
47,377.951,19.46413689,41.4130572
48,368.429,19.96718499,41.59830207
49,363.673,20.2283095,41.28226428
50,353.443,20.81379459,41.62758917
51,346.546,21.22803322,41.62359455
52,341.619,21.53419453,41.41191255
53,336.337,21.872378,41.26863774
54,330.233,22.27666526,41.25308382
55,323.943,22.70921119,41.28947489
56,314.206,23.41295201,41.80884288
57,312.236,23.56067206,41.33451238
58,304.24,24.17989088,41.68946703
59,304.54,24.15607145,40.94249399
60,295.695,24.87864184,41.46440307
61,301.61,24.39073638,39.98481374
62,296.203,24.83597398,40.05802254
63,290.284,25.34238883,40.22601402
64,286.813,25.64908146,40.07668978
65,285.883,25.73251995,39.58849223
66,277.928,26.46904954,40.10462051
67,278.386,26.42550272,39.44104883
68,270.607,27.18514303,39.97815152
69,268.25,27.42400746,39.74493834
70,268.792,27.36870889,39.09815556
71,260.585,28.23067329,39.76151168
72,256.18,28.71609806,39.88346952
73,259.676,28.32949522,38.80752769
74,252.387,29.14765816,39.38872724
75,260.488,28.24118577,37.65491437
76,245.093,30.01509631,39.49354778
77,243.991,30.15066129,39.15670298
78,239.535,30.71154529,39.37377601
79,235.249,31.27107873,39.58364396
80,233.579,31.49465491,39.36831864
