core_count,execution_time,speedup,efficiency
1,7728.93,1,100
2,3899.92,1.981817576,99.09087879
3,2638.84,2.928911946,97.63039821
4,2027.82,3.811447762,95.28619404
5,1619.33,4.772918429,95.45836858
6,1355.87,5.700347378,95.00578964
7,1186.21,6.515650686,93.08072408
8,1034.58,7.470596764,93.38245955
9,1559.13,4.957206904,55.08007671
10,1414.62,5.463608602,54.63608602
11,1362.58,5.672276123,51.56614657
12,1249.09,6.187648608,51.5637384
13,1436.44,5.380614575,41.38934288
14,1337.11,5.78032473,41.28803379
15,1241.11,6.227433507,41.51622338
16,1175.58,6.574567448,41.09104655
17,1122.79,6.883682612,40.49225066
18,1034.16,7.473630773,41.52017096
19,988.302,7.820413194,41.16006944
20,933.854,8.276379391,41.38189696
21,898.12,8.605676302,40.97941096
22,847.064,9.12437549,41.47443405
23,812.088,9.517355262,41.37980549
24,782.508,9.877125857,41.15469107
25,754.224,10.24752593,40.99010374
26,723.333,10.68516161,41.09677541
27,696.669,11.09412074,41.08933606
28,674.512,11.45855077,40.92339562
29,648.707,11.91436195,41.08400674
30,624.175,12.38263308,41.27544359
31,611.034,12.64893607,40.80301957
32,586.063,13.18788253,41.21213291
33,566.445,13.64462569,41.34735058
34,553.906,13.95350475,41.03971984
35,536.478,14.40679767,41.16227905
36,520.17,14.85846935,41.27352596
37,508.367,15.20344554,41.09039336
38,493.866,15.64985239,41.18382208
39,483.718,15.97817323,40.96967496
40,470.741,16.41864635,41.04661587
41,455.666,16.96183169,41.3703212
42,445.921,17.33250957,41.26787993
43,435.722,17.73821382,41.25166004
44,424.633,18.20143512,41.366898
45,415.7,18.59256675,41.31681501
46,406.65,19.00634452,41.31814027
47,403.201,19.16892567,40.78494824
48,391.535,19.74007432,41.12515484
49,382.439,20.20957591,41.24403246
50,375.477,20.58429677,41.16859355
51,368.888,20.95196916,41.08229247
52,361.905,21.3562399,41.06969211
53,356.425,21.68459003,40.9143208
54,349.062,22.1419977,41.00369944
55,344.622,22.42726814,40.77685116
56,335.433,23.04165064,41.14580472
57,332.194,23.26631426,40.8180952
58,322.415,23.97199262,41.33102176
59,319.971,24.15509531,40.9408395
60,313.493,24.6542347,41.09039117
61,319.947,24.15690724,39.60148728
62,316.914,24.38809898,39.33564352
63,312.78,24.71043545,39.22291341
64,319.533,24.18820591,37.79407174
65,307.341,25.14773493,38.68882296
66,301.072,25.67136765,38.89601159
67,298.242,25.91496168,38.67904728
68,294.353,26.25735087,38.61375128
69,290.395,26.61523098,38.57279852
70,286.157,27.00940393,38.58486276
71,285.494,27.07212761,38.1297572
72,278.314,27.77053975,38.5701941
73,278.028,27.79910656,38.0809679
74,272.671,28.34525857,38.30440348
75,269.86,28.64051731,38.18735641
76,266.12,29.0430257,38.2145075
77,260.04,29.72208122,38.60010548
78,258.296,29.92276303,38.36251671
79,253.427,30.4976581,38.60463051
80,252.65,30.59145062,38.23931328
