core_count,execution_time,speedup,efficiency
1,11360.4,1,100
2,5643.44,2.013027515,100.6513758
3,3823.86,2.970924668,99.03082226
4,2873.49,3.953519936,98.83799839
5,2344.87,4.844788837,96.89577674
6,1987.48,5.715982048,95.26636746
7,1712.81,6.632609571,94.75156531
8,1515.65,7.495398014,93.69247518
9,2190.43,5.18637893,57.62643256
10,2013.71,5.64152733,56.4152733
11,1918.18,5.922489026,53.84080933
12,1742.33,6.520234399,54.33528666
13,2029.65,5.597221196,43.05554766
14,1879.88,6.043151691,43.16536922
15,1767.34,6.427965191,42.85310127
16,1650.14,6.884506769,43.02816731
17,1546.05,7.348015912,43.22362301
18,1460.76,7.777047564,43.2058198
19,1386.45,8.193876447,43.12566551
20,1318.5,8.616154721,43.08077361
21,1247.86,9.103905887,43.35193279
22,1196.6,9.493899382,43.1540881
23,1161.51,9.780716481,42.52485427
24,1100.13,10.32641597,43.0267332
25,1053.73,10.78112989,43.12451956
26,1013.94,11.20421327,43.09312795
27,981.165,11.57848068,42.88326179
28,939.652,12.09000779,43.17859925
29,918.212,12.37230618,42.66312475
30,877.918,12.9401607,43.13386899
31,852.637,13.32384121,42.98013294
32,826.501,13.74517393,42.95366854
33,824.228,13.78307944,41.76690739
34,773.226,14.69221159,43.21238703
35,761.513,14.91819575,42.62341643
36,730.965,15.541647,43.17124167
37,716.691,15.85118273,42.8410344
38,694.068,16.36784868,43.07328601
39,677.163,16.77646298,43.01657174
40,659.298,17.23105485,43.07763712
41,646.195,17.58045172,42.87915054
42,633.779,17.92486024,42.67823867
43,618.066,18.3805613,42.74549139
44,600.73,18.91099163,42.97952642
45,587.383,19.34070274,42.97933943
46,571.92,19.86361729,43.18177672
47,560.69,20.26146355,43.10949692
48,548.888,20.69711854,43.11899695
49,541.347,20.98543079,42.82740977
50,530.546,21.4126579,42.82531581
51,519.665,21.86100661,42.86471884
52,506.283,22.43883362,43.15160311
53,499.725,22.73330332,42.89302513
54,488.154,23.27216411,43.09660021
55,480.614,23.637264,42.97684364
56,470.935,24.12307431,43.07691841
57,464.064,24.4802441,42.94779667
58,454.306,25.00605319,43.11388481
59,448.256,25.34355368,42.95517573
60,444.341,25.56685068,42.61141781
61,444.469,25.55948784,41.90079973
62,438.933,25.88185441,41.74492646
63,434.25,26.16096718,41.52534474
64,429.047,26.478218,41.37221563
65,421.278,26.96651617,41.48694796
66,413.868,27.44933167,41.58989647
67,412.297,27.55392351,41.12525897
68,403.218,28.17433746,41.4328492
69,397.209,28.60056041,41.45008755
70,403.844,28.13066432,40.18666331
71,390.695,29.07741333,40.95410328
72,380.852,29.82890992,41.42904155
73,379.241,29.95562189,41.03509848
74,375.012,30.29343061,40.93706839
75,370.011,30.702871,40.93716133
76,364.697,31.15024253,40.98716122
77,357.16,31.80759324,41.30856264
78,356.791,31.84048925,40.82114006
79,350.916,32.37355948,40.97918922
80,347.879,32.65618218,40.82022772
